#capability,read_skb,libbpf
#name,update_pkt,libbpf
#grep skb bpf_helpers.txt |sort|uniq|grep -v support|cut -d '-' -f 2,libbpf
bpf_get_smp_processor_id,0,libbpf
bpf_get_socket_cookie,0,libbpf
bpf_get_socket_uid,0,libbpf
bpf_get_stack,0,libbpf
bpf_get_stackid,0,libbpf
bpf_getsockopt,0,libbpf
bpf_ktime_get_ns,0,libbpf
bpf_map_delete_elem,0,libbpf
bpf_map_lookup_elem,0,libbpf
bpf_map_peek_elem,0,libbpf
bpf_map_pop_elem,0,libbpf
bpf_map_push_elem,0,libbpf
bpf_map_update_elem,0,libbpf
bpf_msg_redirect_map,0,libbpf
bpf_perf_event_read,0,libbpf
bpf_perf_event_read_value,0,libbpf
bpf_perf_prog_read_value,0,libbpf
bpf_probe_read,0,libbpf
bpf_probe_read_str,0,libbpf
bpf_redirect_map,0,libbpf
bpf_sk_lookup_tcp,0,libbpf
bpf_sk_lookup_udp,0,libbpf
bpf_sk_redirect_map,0,libbpf
bpf_sk_storage_get,0,libbpf
bpf_skc_lookup_tcp,0,libbpf
bpf_sock_map_update,0,libbpf
bpf_spin_lock,0,libbpf
bpf_spin_unlock,0,libbpf
bpf_sysctl_get_current_value,0,libbpf
bpf_sysctl_get_name,0,libbpf
bpf_sysctl_get_new_value,0,libbpf
bpf_trace_printk,0,libbpf
#name,update_pkt,cilium
#grep skb helpers.txt |sort|uniq|grep -v support|cut -d '-' -f 2,cilium
skb_adjust_room,0,cilium
skb_ancestor_cgroup_id,1,cilium
skb_cgroup_id,1,cilium
skb_change_head,0,cilium
skb_change_proto,0,cilium
skb_change_tail,0,cilium
skb_change_type,0,cilium
skb_ecn_set_ce,0,cilium
skb_get_tunnel_key,1,cilium
skb_get_tunnel_opt,1,cilium
skb_get_xfrm_state,1,cilium
skb_load_bytes,1,cilium
skb_load_bytes_relative,1,cilium
skb_pull_data,0,cilium
skb_set_tunnel_key,0,cilium
skb_set_tunnel_opt,0,cilium
skb_store_bytes,0,cilium
skb_under_cgroup,1,cilium
skb_vlan_pop,0,cilium
skb_vlan_push,0,cilium
#grep -E -v "skb_adjust_room|skb_ancestor_cgroup_id|skb_cgroup_id|skb_change_head|skb_change_proto|skb_change_tail|skb_change_type|skb_ecn_set_ce|skb_get_tunnel_key|skb_get_tunnel_opt|skb_get_xfrm_state|skb_load_bytes|skb_load_bytes_relative|skb_pull_data|skb_set_tunnel_key|skb_set_tunnel_opt|skb_store_bytes|skb_under_cgroup|skb_vlan_pop|skb_vlan_push|supported|map|get|lookup|print|read|lock" helpers.txt |sort|uniq|cut -d '-' -f 0,cilium
bind,0,cilium
clone_redirect,0,cilium
csum_diff,1,cilium
csum_update,0,cilium
current_task_under_cgroup,0,cilium
l3_csum_replace,0,cilium
l4_csum_replace,0,cilium
